identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
15072A;SAINT QUENTIN EN YVELINES;Bureau de poste;18 AVENUE DU CENTRE;;;78180;MONTIGNY LE BRETONNEUX;78;FRANCE;48.7858;2.04658;48.7858, 2.04658;1,206816803
50156A;BUCHELAY AP;Relais poste commerçant;3 PLACE JULES TROLLIARD;BAR TABAC LE GALLIA;;78200;BUCHELAY;78;FRANCE;48.9789;1.67074;48.9789, 1.67074;1,224224557
14971A;MAGNANVILLE BP;Bureau de poste;RUE DES BROSSES;;;78200;MAGNANVILLE;78;FRANCE;48.9716;1.68864;48.9716, 1.68864;1,218926143
15055A;POISSY NOAILLES BP;Bureau de poste;59 BVD ROBESPIERRE;;;78300;POISSY;78;FRANCE;48.9336;2.05339;48.9336, 2.05339;1,239554148
14932A;LES CLAYES SOUS BOIS BP;Bureau de poste;PLACE DE LA REPUBLIQUE;;;78340;LES CLAYES SOUS BOIS;78;FRANCE;48.8222;1.98915;48.8222, 1.98915;1,233173332
15001A;PLAISIR;Bureau de poste;1 RUE DU DOCTEUR FLEMING;;;78370;PLAISIR;78;FRANCE;48.8177;1.94529;48.8177, 1.94529;1,222509418
14955A;GARGENVILLE BP;Bureau de poste;5 RUE GAMBETTA;;;78440;GARGENVILLE;78;FRANCE;48.988965;1.812353;48.988965, 1.812353;1,247619294
14957A;GROSROUVRE AP;Agence postale commnunale;1 ROUTE DU BUISSON;;;78490;GROSROUVRE;78;FRANCE;48.7836;1.76986;48.7836, 1.76986;1,229023849
14988A;MONTFORT L AMAURY BP;Bureau de poste;13 PLACE ROBERT BRAULT;;;78490;MONTFORT L AMAURY;78;FRANCE;48.777052;1.80999;48.777052, 1.80999;1,249784191
14961A;HOUDAN;Bureau de poste;198 RUE DES CLOS DE L ECU;;;78550;HOUDAN;78;FRANCE;48.792346;1.603701;48.792346, 1.603701;1,245632595
14973A;MAISONS LAFFITTE;Bureau de poste;16 RUE JEAN MERMOZ;;;78600;MAISONS LAFFITTE;78;FRANCE;48.9464;2.14434;48.9464, 2.14434;1,21494937
14900A;MAISON GIAMMATTEI AUFFARGIS AP;Relais poste commerçant;31 GRANDE RUE;MAISON GIAMMATTEI;;78610;AUFFARGIS;78;FRANCE;48.7019;1.8847;48.7019, 1.8847;1,200424994
14975A;MANTES LA VILLE;Bureau de poste;1 RUE DU PARC;;;78711;MANTES LA VILLE;78;FRANCE;48.9752;1.71332;48.9752, 1.71332;1,23912432
14924A;CERNAY LA VILLE AP;Relais poste commerçant;6 RUE DE LA FERME;;;78720;CERNAY LA VILLE;78;FRANCE;48.6731;1.97325;48.6731, 1.97325;1,223581973
14976A;MAREIL MARLY BP;Bureau de poste;13 RUE TELLIER FRERES;;;78750;MAREIL MARLY;78;FRANCE;48.8818;2.07899;48.8818, 2.07899;1,23108803
