identifiant;libelle_du_site;caracteristique_du_site;adresse;complement_d_adresse;lieu_dit;code_postal;localite;dept;pays;latitude;longitude;wgs84;Coeff_Total
14906A;BOIS D ARCY;Bureau de poste;2 RUE ALEXANDRE TURPAULT;;;78390;BOIS D ARCY;78;FRANCE;48.8009;2.03213;48.8009, 2.03213;1,217853288
15071A;CHATOU EUROPE BP;Bureau de poste;40 RUE DES VIGNOBLES;;;78400;CHATOU;78;FRANCE;48.9024;2.15485;48.9024, 2.15485;1,209125207
14910A;BOUAFLE BP;Bureau de poste;7 RUE MAURICE BERTEAUX;;;78410;BOUAFLE;78;FRANCE;48.965354;1.897877;48.965354, 1.897877;1,211039314
14970A;LOUVECIENNES BP;Bureau de poste;PLACE DES COMBATTANTS;;;78430;LOUVECIENNES;78;FRANCE;48.86;2.11278;48.86, 2.11278;1,244151742
15014A;SAINT REMY LES CHEVREUSE BP;Bureau de poste;25 RUE DE LA REPUBLIQUE;;;78470;ST REMY LES CHEVREUSE;78;FRANCE;48.7041;2.06986;48.7041, 2.06986;1,228743159
15026A;VERNEUIL SUR SEINE;Bureau de poste;PLACE GEORGES BRASSENS;;;78480;VERNEUIL SUR SEINE;78;FRANCE;48.9802;1.97479;48.9802, 1.97479;1,230350709
15015A;SARTROUVILLE PRINCIPAL;Bureau de poste;PLACE ALEXANDRE DUMAS;;;78500;SARTROUVILLE;78;FRANCE;48.9431;2.19;48.9431, 2.19;1,228938694
15048A;SARTROUVILLE JEAN-JAURES;Bureau de poste;36 B AVENUE JEAN JAURES;;;78500;SARTROUVILLE;78;FRANCE;48.9407;2.16047;48.9407, 2.16047;1,248547563
14966A;LIMAY;Bureau de poste;RUE DES 4 CHEMINS;;;78520;LIMAY;78;FRANCE;48.994516;1.736081;48.994516, 1.736081;1,249855071
14904A;BAZEMONT AP;Agence postale commnunale;GRAND RUE;;;78580;BAZEMONT;78;FRANCE;48.9278;1.86552;48.9278, 1.86552;1,220723207
14982A;LE MESNIL LE ROI BP;Bureau de poste;AVENUE DE POISSY;CENTRE COMMERCIAL;;78600;LE MESNIL LE ROI;78;FRANCE;48.9424;2.12529;48.9424, 2.12529;1,234996151
06820B;BREVIAIRES SERVICES AP;Relais poste commerçant;9 ROUTE DES HARAS;;;78610;LES BREVIAIRES;78;FRANCE;48.7085;1.81295;48.7085, 1.81295;1,220672967
14992A;NEAUPHLE LE VIEUX AP;Agence postale commnunale;;RUE AUX MOUTONS;;78640;NEAUPHLE LE VIEUX;78;FRANCE;48.8148;1.86375;48.8148, 1.86375;1,249495161
14905A;BEYNES BP;Bureau de poste;PLACE DU 8 MAI 1945;;;78650;BEYNES;78;FRANCE;48.855486;1.875545;48.855486, 1.875545;1,217480421
14944A;LES ESSARTS LE ROI BP;Bureau de poste;5 AVENUE DE LA GARE;;;78690;LES ESSARTS LE ROI;78;FRANCE;48.718991;1.893454;48.718991, 1.893454;1,234702655
62922A;ROCHEFORT AP;Relais poste commerçant;38 RUE GUY LE ROUGE;BOULANGERIE PATAULT;;78730;ROCHEFORT EN YVELINES;78;FRANCE;48.5863;1.98864;48.5863, 1.98864;1,248943016
15009A;SAINT ARNOULT EN YVELINES;Bureau de poste;18 RUE DES REMPARTS;;;78730;ST ARNOULT EN YVELINES;78;FRANCE;48.572387;1.938317;48.572387, 1.938317;1,204591336
14940A;DAVRON AP;Agence postale commnunale;RUE SAINT JACQUES;;;78810;DAVRON;78;FRANCE;48.8642;1.9457;48.8642, 1.9457;1,236984793
14908A;BONNELLES BP;Bureau de poste;38 RUE DE LA LIBERATION;;;78830;BONNELLES;78;FRANCE;48.617503;2.029038;48.617503, 2.029038;1,286875269
14951A;FRENEUSE BP;Bureau de poste;45 RUE CHARLES DE GAULLE;;;78840;FRENEUSE;78;FRANCE;49.045896;1.597647;49.045896, 1.597647;1,287319858
15019A;THIVERVAL GRIGNON AP;Agence postale commnunale;;AVENUE LUCIEN BRETIGNIERES;;78850;THIVERVAL GRIGNON;78;FRANCE;48.8506;1.91666;48.8506, 1.91666;1,282144026
14941A;ECQUEVILLY BP;Bureau de poste;15 RUE S DEUTSCH DE LA MEURTHE;;;78920;ECQUEVILLY;78;FRANCE;48.949;1.92223;48.949, 1.92223;1,280686551
14921A;CARRIERES SOUS POISSY BP1;Bureau de poste;26 RUE CLAUDE MONET;;;78955;CARRIERES SOUS POISSY;78;FRANCE;48.9484;2.03687;48.9484, 2.03687;1,317811253
16948A;EVRY AGORA;Bureau de poste;7 PLACE DES TERRASSES DE L AGORA;;;91000;EVRY;91;FRANCE;48.6272;2.42638;48.6272, 2.42638;1,29774617
17028A;MONTCONSEIL AP;Agence postale commnunale;6 AVENUE RENE PIERRE;;CENTRE COMMERCIAL MONTCONSEIL;91100;CORBEIL ESSONNES;91;FRANCE;48.6005;2.47845;48.6005, 2.47845;1,321625263
16983A;RIS ORANGIS;Bureau de poste;PLACE DU MOULIN A VENT;;;91130;RIS ORANGIS;91;FRANCE;48.648;2.40723;48.648, 2.40723;1,306085187
17004A;VILLEBON SUR YVETTE BP;Bureau de poste;10 PLACE GERARD NEVERS;;;91140;VILLEBON SUR YVETTE;91;FRANCE;48.6999;2.22701;48.6999, 2.22701;1,303446458
16974A;MORIGNY CHAMPIGNY AP;Agence postale commnunale;RUE DES PONTS;;;91150;MORIGNY CHAMPIGNY;91;FRANCE;48.4473;2.18593;48.4473, 2.18593;1,299168481
16987A;ST GERMAIN LES ARPAJON BP;Bureau de poste;2 RUE DE CHANTELOUP;;;91180;ST GERMAIN LES ARPAJON;91;FRANCE;48.5958;2.2552;48.5958, 2.2552;1,325744888
16910A;ATHIS MONS PRINCIPAL;Bureau de poste;2 RUE PAUL VAILLANT COUTURIER;;;91200;ATHIS MONS;91;FRANCE;48.7064;2.38518;48.7064, 2.38518;1,29988422
17026A;ATHIS MONS APC DU VAL AP;Agence postale commnunale;105 AVENUE DU 18 AVRIL;;;91200;ATHIS MONS;91;FRANCE;48.7023;2.38692;48.7023, 2.38692;1,327389713
17046A;DRAVEIL MAZIERES AP;Relais poste commerçant;40 RUE DU PORT AUX DAMES;TABAC PRESSE NGUYEN TAN;;91210;DRAVEIL;91;FRANCE;48.6805;2.40141;48.6805, 2.40141;1,300162278
17050A;MONTGERON BP;Bureau de poste;CENTRE COMMERCIAL LA FORET;;;91230;MONTGERON;91;FRANCE;48.6966;2.45658;48.6966, 2.45658;1,342279556
17002A;VIGNEUX SUR SEINE;Bureau de poste;10 PLACE DU 8 MAI 1945;;;91270;VIGNEUX SUR SEINE;91;FRANCE;48.7033;2.428;48.7033, 2.428;1,314517565
83645A;LONGPONT SUR ORGE AP;Agence postale commnunale;PLACE DES COMBATTANTS;MAIRIE DE LONGPONT SUR ORGE;;91310;LONGPONT SUR ORGE;91;FRANCE;48.6508;2.27592;48.6508, 2.27592;1,315627405
17008A;WISSOUS BP;Bureau de poste;11 ROUTE D ANTONY;;;91320;WISSOUS;91;FRANCE;48.7344;2.32424;48.7344, 2.32424;1,281623331
17058A;YERRES MOLIERE BP;Bureau de poste;45 RUE MOLIERE;;;91330;YERRES;91;FRANCE;48.6964;2.48181;48.6964, 2.48181;1,304560683
70532A;OLLAINVILLE AP;Agence postale commnunale;4 RUE DE LA MAIRIE;MAISON DES INSTITUTIONS;;91340;OLLAINVILLE;91;FRANCE;48.5913;2.21626;48.5913, 2.21626;1,293221036
17045A;MORSANG SUR ORGE RPC AP;Relais poste commerçant;28 RUE SAVIGNY;;;91390;MORSANG SUR ORGE;91;FRANCE;48.6668;2.35372;48.6668, 2.35372;1,28678828
16977A;ORSAY;Bureau de poste;24 RUE DE PARIS;;;91400;ORSAY;91;FRANCE;48.6977;2.18803;48.6977, 2.18803;1,288920622
16973A;MORANGIS BP;Bureau de poste;PLACE PIERRE BROSSOLETTE;;;91420;MORANGIS;91;FRANCE;48.7047;2.33025;48.7047, 2.33025;1,282051025
17042A;IGNY BOURG BP;Bureau de poste;1 RUE DU BAS IGNY;;;91430;IGNY;91;FRANCE;48.7449;2.2263;48.7449, 2.2263;1,294079543
16964A;MARCOUSSIS BP;Bureau de poste;25 RUE ALFRED DUBOIS;;;91460;MARCOUSSIS;91;FRANCE;48.642;2.23372;48.642, 2.23372;1,302168872
16982A;QUINCY SOUS SENART;Bureau de poste;28 RUE DE BOISSY SAINT LEGER;;;91480;QUINCY SOUS SENART;91;FRANCE;48.6743;2.53515;48.6743, 2.53515;1,326066178
16958A;LARDY BP;Bureau de poste;4 AVENUE DU MARECHAL FOCH;;;91510;LARDY;91;FRANCE;48.521076;2.264444;48.521076, 2.264444;1,336815904
16944A;EGLY;Bureau de poste;29 GRANDE RUE;;;91520;EGLY;91;FRANCE;48.5808;2.22538;48.5808, 2.22538;1,323489419
16929A;BRIIS SOUS FORGES BP;Bureau de poste;PLACE DE LA LIBERATION;;;91640;BRIIS SOUS FORGES;91;FRANCE;48.6243;2.12497;48.6243, 2.12497;1,316085568
50969A;STE GENEVIEVE LE PETIT SOLEIL BP;Bureau de poste;PLACE GEORGES DIMITROV;QUARTIER DES AUNETTES;;91700;STE GENEVIEVE DES BOIS;91;FRANCE;48.6418;2.34454;48.6418, 2.34454;1,34008344
66641A;GIRONVILLE AP;Agence postale commnunale;20 GRANDE RUE;MAIRIE;;91720;GIRONVILLE SUR ESSONNE;91;FRANCE;48.3707;2.38058;48.3707, 2.38058;1,31297156
16934A;CHALO ST MARS AP;Agence postale commnunale;PLACE DU JEU DE PAUME;MAIRIE;;91780;CHALO ST MARS;91;FRANCE;48.4272;2.06656;48.4272, 2.06656;1,318551415
16930A;BRUNOY;Bureau de poste;2 RUE DE LA POSTE;;;91800;BRUNOY;91;FRANCE;48.6966;2.50381;48.6966, 2.50381;1,326315734
16925A;BOUTIGNY SUR ESSONNE BP;Bureau de poste;4 PLACE DU GENERAL DE GAULLE;;;91820;BOUTIGNY SUR ESSONNE;91;FRANCE;48.435415;2.37662;48.435415, 2.37662;1,300488718
16921A;BOISSY LE SEC AP;Agence postale commnunale;8 RUE DE VAUCOULEURS;;;91870;BOISSY LE SEC;91;FRANCE;48.4784;2.08988;48.4784, 2.08988;1,285736692
72633A;ST SULPICE DE FAVIERES AP;Agence postale commnunale;14 RUE AUX FEVES;;;91910;ST SULPICE DE FAVIERES;91;FRANCE;48.5409;2.1778;48.5409, 2.1778;1,29642611
17069A;NANTERRE LES MUGUETS BP;Bureau de poste;11 PLACE DES MUGUETS;;;92000;NANTERRE;92;FRANCE;48.9106;2.22096;48.9106, 2.22096;1,323256549
17088A;NANTERRE CENTRE;Bureau de poste;5 BOULEVARD DU LEVANT;;;92000;NANTERRE;92;FRANCE;48.8903;2.19883;48.8903, 2.19883;1,313387102
17107A;BOULOGNE BILLANCOURT JAURES;Bureau de poste;7 BOULEVARD JEAN JAURES;;;92100;BOULOGNE BILLANCOURT;92;FRANCE;48.8445;2.23754;48.8445, 2.23754;1,31911144
70513A;BOULOGNE BILLANCOURT MESSINA AP;Relais poste commerçant;4 RUE LIOT;TABAC LIBRAIRIE MESSINA;;92100;BOULOGNE BILLANCOURT;92;FRANCE;48.8321;2.24082;48.8321, 2.24082;1,326457845
70514A;BOULOGNE BILLANCOURT EDITO AP;Relais poste commerçant;36 RUE PIERRE GRENIER;LIBRAIRIE EDITO;;92100;BOULOGNE BILLANCOURT;92;FRANCE;48.8289;2.25098;48.8289, 2.25098;1,281394871
17121A;MONTROUGE VACHE NOIRE;Bureau de poste;PLACE JULES FERRY;;;92120;MONTROUGE;92;FRANCE;48.8122;2.32585;48.8122, 2.32585;1,286907266
17096A;SURESNES HOTEL DE VILLE;Bureau de poste;1 RUE FIZEAU;;;92150;SURESNES;92;FRANCE;48.87;2.22557;48.87, 2.22557;1,34587265
17063A;ANTONY AUGUSTE MOUNIE;Bureau de poste;32 RUE AUGUSTE MOUNIE;;;92160;ANTONY;92;FRANCE;48.7539;2.30266;48.7539, 2.30266;1,327167234
17154A;ANTONY BRIAND;Bureau de poste;63 T AVENUE ARISTIDE BRIAND;;;92160;ANTONY;92;FRANCE;48.7579;2.30647;48.7579, 2.30647;1,316060436
17097A;VANVES HOTEL DE VILLE;Bureau de poste;1 AVENUE MARCEL MARTINIE;;;92170;VANVES;92;FRANCE;48.8207;2.29057;48.8207, 2.29057;1,309369155
72762A;VANVES CHATILLON AP;Relais poste commerçant;13 RUE DE CHATILLON;EPICERIE CHEZ RACHID;;92170;VANVES;92;FRANCE;48.8165;2.28328;48.8165, 2.28328;1,329239384
17093A;SAINT CLOUD PRINCIPAL;Bureau de poste;15 BOULEVARD DE LA REPUBLIQUE;;;92210;ST CLOUD;92;FRANCE;48.8444;2.20727;48.8444, 2.20727;1,335290649
55805A;BAGNEUX CHATEAUBRIANT BP;Bureau de poste;32 AVENUE HENRI BARBUSSE;;;92220;BAGNEUX;92;FRANCE;48.8018;2.31629;48.8018, 2.31629;1,292619236
17114A;GENNEVILLIERS GRESILLONS;Bureau de poste;31 RUE FRANCOIS KOVAC;;;92230;GENNEVILLIERS;92;FRANCE;48.9172;2.30126;48.9172, 2.30126;1,311720506
17077A;FONTENAY AUX ROSES;Bureau de poste;99 RUE BOUCICAUT;;;92260;FONTENAY AUX ROSES;92;FRANCE;48.7922;2.28508;48.7922, 2.28508;1,325971784
17109A;CHATENAY BUTTE ROUGE BP;Bureau de poste;23 AVENUE FRANCIS DE PRESSENSE;;;92290;CHATENAY MALABRY;92;FRANCE;48.7633;2.25428;48.7633, 2.25428;1,329486313
17095A;SEVRES;Bureau de poste;44 GRANDE RUE;;;92310;SEVRES;92;FRANCE;48.823;2.20903;48.823, 2.20903;1,328781415
17071A;CHATILLON;Bureau de poste;12 BOULEVARD DE VANVES;;;92320;CHATILLON;92;FRANCE;48.8046;2.28791;48.8046, 2.28791;1,306122093
17141A;SCEAUX BLAGIS BP;Bureau de poste;49 RUE DE BAGNEUX;;;92330;SCEAUX;92;FRANCE;48.7842;2.30245;48.7842, 2.30245;1,346330924
17068A;BOURG LA REINE;Bureau de poste;79 AVENUE DU GENERAL LECLERC;;;92340;BOURG LA REINE;92;FRANCE;48.7813;2.31638;48.7813, 2.31638;1,323115052
17100A;VILLENEUVE LA GARENNE;Bureau de poste;1 AVENUE JEAN MOULIN;;;92390;VILLENEUVE LA GARENNE;92;FRANCE;48.9377;2.33164;48.9377, 2.33164;1,314805677
17076A;COURBEVOIE ARISTIDE BRIAND;Bureau de poste;14 BOULEVARD ARISTIDE BRIAND;;;92400;COURBEVOIE;92;FRANCE;48.8993;2.25793;48.8993, 2.25793;1,327166288
17098A;VAUCRESSON BP;Bureau de poste;AVENUE JEAN SALMON LEGAGNEUR;;;92420;VAUCRESSON;92;FRANCE;48.8387;2.15432;48.8387, 2.15432;1,3358051
17064A;ASNIERES HOTEL DE VILLE;Bureau de poste;PLACE ARISTIDE BRIAND;;;92600;ASNIERES SUR SEINE;92;FRANCE;48.9105;2.28793;48.9105, 2.28793;1,333602696
17242A;BOBIGNY PONT DE PIERRE BP;Bureau de poste;10 RUE RACINE;;;93000;BOBIGNY;93;FRANCE;48.913;2.4161;48.913, 2.4161;1,301483755
17234A;MONTREUIL ERMITAGE;Bureau de poste;10 AVENUE PAUL SIGNAC;;;93100;MONTREUIL;93;FRANCE;48.8684;2.45235;48.8684, 2.45235;1,32107842
17254A;ROSNY SOUS BOIS PERRIER BP;Bureau de poste;37 RUE PHILIBERT HOFFMANN;;;93110;ROSNY SOUS BOIS;93;FRANCE;48.8812;2.4859;48.8812, 2.4859;1,317219153
17287A;BONDY PRINCIPAL BP;Bureau de poste;2 RUE DE LA PHILOSOPHIE;;;93140;BONDY;93;FRANCE;48.8897;2.49507;48.8897, 2.49507;1,330300601
72786A;NOISY LE GRAND RELAIS POSTE PIMMS AP;Agence postale commnunale;11 MAIL FREDERICO GARCIA LORCA;;;93160;NOISY LE GRAND;93;FRANCE;48.8386;2.55677;48.8386, 2.55677;1,303432253
17203A;SAINT DENIS FLOREAL BP;Bureau de poste;SQUARE DE L ILE DE FRANCE;CENTRE COMMERCIAL;;93200;ST DENIS;93;FRANCE;48.9424;2.3813;48.9424, 2.3813;1,309185849
17276A;STAINS CLOS SAINT LAZARE BP;Bureau de poste;1 RUE ALFRED DE MUSSET;;;93240;STAINS;93;FRANCE;48.9489;2.3786;48.9489, 2.3786;1,32091127
17215A;SEVRAN PRINCIPAL;Bureau de poste;5 AVENUE HENRI DUNANT;;;93270;SEVRAN;93;FRANCE;48.9384;2.52339;48.9384, 2.52339;1,356799025
17217A;TREMBLAY EN FRANCE;Bureau de poste;2 BOULEVARD DE L HOTEL DE VILLE;;;93290;TREMBLAY EN FRANCE;93;FRANCE;48.9506;2.56789;48.9506, 2.56789;1,368483973
17273A;TREMBLAY EN FRANCE PASTEUR BP;Bureau de poste;16 AVENUE PASTEUR;;;93290;TREMBLAY EN FRANCE;93;FRANCE;48.9422;2.57215;48.9422, 2.57215;1,362276975
17248A;AUBERVILLIERS MONTFORT;Bureau de poste;166 RUE DANIELLE CASANOVA;CENTRE COMMERCIAL EMILE DUBOIS;;93300;AUBERVILLIERS;93;FRANCE;48.9148;2.40309;48.9148, 2.40309;1,368622922
17207A;LES PAVILLONS SOUS BOIS;Bureau de poste;19 ALLEE ROBILLARD;;;93320;LES PAVILLONS SOUS BOIS;93;FRANCE;48.9054;2.5057;48.9054, 2.5057;1,393025248
17210A;LE RAINCY;Bureau de poste;5 ALLEE THEOPHILE BINET;;;93340;LE RAINCY;93;FRANCE;48.8938;2.51388;48.8938, 2.51388;1,396440888
17200A;NEUILLY PLAISANCE PRINCIPAL;Bureau de poste;45 RUE DU GENERAL DE GAULLE;;;93360;NEUILLY PLAISANCE;93;FRANCE;48.8631;2.50695;48.8631, 2.50695;1,379040861
17198A;MONTFERMEIL;Bureau de poste;3 AVENUE DES PECHES;;;93370;MONTFERMEIL;93;FRANCE;48.899;2.56073;48.899, 2.56073;1,398461203
17187A;CLICHY SOUS BOIS CHENE POINTU;Bureau de poste;ALLEE MAURICE AUDIN;CENTRE COMMERCIAL DU CHENE POINTU;;93390;CLICHY SOUS BOIS;93;FRANCE;48.9083;2.54459;48.9083, 2.54459;1,372218927
17218A;VAUJOURS BP;Bureau de poste;76 RUE DE MEAUX;;;93410;VAUJOURS;93;FRANCE;48.9349;2.56887;48.9349, 2.56887;1,393379336
17221A;VILLETANEUSE BP;Bureau de poste;7 RUE DU 19 MARS 1962;;;93430;VILLETANEUSE;93;FRANCE;48.9622;2.34341;48.9622, 2.34341;1,387526004
17274A;AULNAY SOUS BOIS GALION;Bureau de poste;CENTRE COMMERCIAL GALION;GALERIE SURCOUF;;93600;AULNAY SOUS BOIS;93;FRANCE;48.9544;2.49891;48.9544, 2.49891;1,37757104
17403A;CRETEIL PALAIS;Bureau de poste;2 ALLEE PARMENTIER;;;94000;CRETEIL;94;FRANCE;48.7872;2.44659;48.7872, 2.44659;1,398482696
17227A;SAINT DENIS CASANOVA BP;Bureau de poste;65 RUE DANIELLE CASANOVA;;;93200;ST DENIS;93;FRANCE;48.9264;2.36676;48.9264, 2.36676;1,383074208
17277A;SAINT DENIS BARBUSSE DIEZ;Bureau de poste;2 RUE HENRI BARBUSSE;;;93200;ST DENIS;93;FRANCE;48.9376;2.3721;48.9376, 2.3721;1,379857468
17238A;ST DENIS LA PLAINE BP;Bureau de poste;154 B AVENUE DU PRESIDENT WILSON;;;93210;LA PLAINE ST DENIS;93;FRANCE;48.9105;2.35853;48.9105, 2.35853;1,370507062
17239A;STAINS L AVENIR BP;Bureau de poste;71 AVENUE JEAN JAURES;;;93240;STAINS;93;FRANCE;48.967298;2.382292;48.967298, 2.382292;1,379619369
17196A;LES LILAS;Bureau de poste;4 BOULEVARD DE LA LIBERTE;;;93260;LES LILAS;93;FRANCE;48.8796;2.4165;48.8796, 2.4165;1,376291022
17556A;ROISSY AEROGARE 2;Bureau de poste;AEROGARE 2 TERMINAL D;ROISSY GA3;;93290;TREMBLAY EN FRANCE;93;FRANCE;48.9937;2.50958;48.9937, 2.50958;1,353562882
17224A;AUBERVILLIERS QUATRE CHEMINS BP;Bureau de poste;2 RUE ERNEST PREVOST;;;93300;AUBERVILLIERS;93;FRANCE;48.9025;2.38889;48.9025, 2.38889;1,367807104
17279A;NEUILLY SUR MARNE FAUVETTES BP;Bureau de poste;37 PLACE DU ROUSSILLON;;;93330;NEUILLY SUR MARNE;93;FRANCE;48.8659;2.53369;48.8659, 2.53369;1,355329769
17186A;LE BOURGET;Bureau de poste;96 AVENUE DE LA DIVISION LECLERC;;;93350;LE BOURGET;93;FRANCE;48.9375;2.42889;48.9375, 2.42889;1,391652555
17271A;CLICHY SOUS BOIS BP;Bureau de poste;35 ALLEE MAURICE HURON;;;93390;CLICHY SOUS BOIS;93;FRANCE;48.899043;2.534358;48.899043, 2.534358;1,368989164
17214A;SAINT OUEN PRINCIPAL;Bureau de poste;13 AVENUE GABRIEL PERI;;;93400;ST OUEN;93;FRANCE;48.9105;2.33351;48.9105, 2.33351;1,399959947
17255A;SAINT OUEN PRINCIPAL BP;Bureau de poste;6 RUE DU MOUTIER;;;93400;ST OUEN;93;FRANCE;48.9182;2.33208;48.9182, 2.33208;1,367323187
17267A;VILLEPINTE  DAGUERRE BP;Bureau de poste;29 RUE DAGUERRE;;;93420;VILLEPINTE;93;FRANCE;48.9511;2.5585;48.9511, 2.5585;1,361802669
17232A;AULNAY SUD BP;Bureau de poste;33 AVENUE D ALIGRE;;;93600;AULNAY SOUS BOIS;93;FRANCE;48.9233;2.49714;48.9233, 2.49714;1,392967434
17247A;EPINAY OBELISQUE BP;Bureau de poste;38 RUE FELIX MERLIN;OBELISQUE;;93800;EPINAY SUR SEINE;93;FRANCE;48.9558;2.298;48.9558, 2.298;1,373905995
17249A;EPINAY SUR SEINE PAL BP;Bureau de poste;177 AVENUE DE LA REPUBLIQUE;;;93800;EPINAY SUR SEINE;93;FRANCE;48.9496;2.33096;48.9496, 2.33096;1,354623981
17307A;CRETEIL EGLISE;Bureau de poste;1 RUE DE PARIS;;;94000;CRETEIL;94;FRANCE;48.7937;2.46045;48.7937, 2.46045;1,373733889
17373A;CRETEIL MONT MESLY BP;Bureau de poste;23 ALLEE DU COMMERCE;;;94000;CRETEIL;94;FRANCE;48.778;2.47296;48.778, 2.47296;1,39534827
17389A;CRETEIL SOLEIL BP;Bureau de poste;CENTRE COMMERCIAL REGIONAL;;;94000;CRETEIL;94;FRANCE;48.7797;2.45609;48.7797, 2.45609;1,382051229
17294A;ARCUEIL;Bureau de poste;75 RUE MARIUS SIDOBRE;;;94110;ARCUEIL;94;FRANCE;48.8042;2.3328;48.8042, 2.3328;1,369010256
17400A;ALFORTVILLE SAINT PIERRE BP;Bureau de poste;97 RUE ETIENNE DOLET;;;94140;ALFORTVILLE;94;FRANCE;48.7905;2.42588;48.7905, 2.42588;1,35844515
14277A;PARIS BEAUBOURG;Bureau de poste;90 RUE SAINT DENIS;;;75001;PARIS;75;FRANCE;48.8626;2.34962;48.8626, 2.34962;1,376047432
14307A;PARIS CAPUCINES;Bureau de poste;13 RUE DES CAPUCINES;;;75001;PARIS;75;FRANCE;48.8689;2.32925;48.8689, 2.32925;1,393387231
14341A;PARIS CHATELET;Bureau de poste;27 RUE LAVANDIERES STE OPPORTUNE;;;75001;PARIS;75;FRANCE;48.8594;2.34684;48.8594, 2.34684;1,354477485
14248A;PARIS BASTILLE;Bureau de poste;12 RUE CASTEX;;;75004;PARIS;75;FRANCE;48.8532;2.3664;48.8532, 2.3664;1,385149706
14225A;PARIS MOUFFETARD / FEUILLANTINES;Bureau de poste;10 RUE DE L EPEE DE BOIS;;;75005;PARIS;75;FRANCE;48.8416;2.3507;48.8416, 2.3507;1,352407051
14317A;PARIS SORBONNE BP;Bureau de poste;13 RUE CUJAS;;;75005;PARIS;75;FRANCE;48.8476;2.34288;48.8476, 2.34288;1,375788918
14369A;PARIS MEDICIS BP;Bureau de poste;24 RUE DE VAUGIRARD;;;75006;PARIS;75;FRANCE;48.8493;2.33726;48.8493, 2.33726;1,365571996
14209A;PARIS TOUR EIFFEL BP;Bureau de poste;6 TOUR EIFFEL;1 IER ETAGE TOUR EIFFEL;;75007;PARIS;75;FRANCE;48.8577;2.29351;48.8577, 2.29351;1,359823729
14227A;PARIS ECOLE MILITAIRE;Bureau de poste;1 PASSAGE DE LA VIERGE;;;75007;PARIS;75;FRANCE;;;;1,374344174
18521B;RUE DE LILLE CAISSE DES DEPOTS BP;Bureau de poste;56 RUE DE LILLE;;;75007;PARIS;75;FRANCE;48.859166;2.327875;48.859166, 2.327875;1,366021811
14229A;PARIS ROCHECHOUART;Bureau de poste;4 RUE HIPPOLYTE LEBAS;;;75009;PARIS;75;FRANCE;48.877;2.34143;48.877, 2.34143;1,396770167
14249A;PARIS TRINITE BP;Bureau de poste;78 RUE TAITBOUT;;;75009;PARIS;75;FRANCE;48.8769;2.33556;48.8769, 2.33556;1,38255979
14322A;PARIS OPERA BP;Bureau de poste;8 RUE AUBER;;;75009;PARIS;75;FRANCE;48.8725;2.32943;48.8725, 2.32943;1,374052002
14230A;PARIS MAGENTA;Bureau de poste;2 SQUARE ALBAN SATRAGNE;;;75010;PARIS;75;FRANCE;48.876;2.35601;48.876, 2.35601;1,373696039
14338A;PARIS SAINT LAURENT;Bureau de poste;38 BOULEVARD DE STRASBOURG;;;75010;PARIS;75;FRANCE;48.8724;2.35598;48.8724, 2.35598;1,399303617
14348A;PARIS BONNE NOUVELLE;Bureau de poste;18 BOULEVARD DE BONNE NOUVELLE;;;75010;PARIS;75;FRANCE;48.8701;2.35079;48.8701, 2.35079;1,354332171
14169A;PARIS FAIDHERBE BP;Bureau de poste;31 RUE FAIDHERBE;;;75011;PARIS;75;FRANCE;48.8531;2.38283;48.8531, 2.38283;1,352777683
14171A;PARIS PARMENTIER BP;Bureau de poste;7 AVENUE PARMENTIER;;;75011;PARIS;75;FRANCE;48.8595;2.37914;48.8595, 2.37914;1,350140904
14336A;PARIS MERCOEUR;Bureau de poste;80 RUE LEON FROT;;;75011;PARIS;75;FRANCE;48.8575;2.38495;48.8575, 2.38495;1,364631003
14183A;PARIS LACHAMBEAUDIE BP;Bureau de poste;1 RUE DE DIJON;;;75012;PARIS;75;FRANCE;48.8354;2.38536;48.8354, 2.38536;1,387560132
14196A;PARIS BRECHE AUX LOUPS /LACHAMBAUDIE;Bureau de poste;11 RUE DE WATTIGNIES;;;75012;PARIS;75;FRANCE;48.8368;2.39286;48.8368, 2.39286;1,391108417
14330A;PARIS FAUBOURG ST ANTOINE/CROZATIER;Bureau de poste;80 AVENUE LEDRU ROLLIN;;;75012;PARIS;75;FRANCE;48.8499;2.37478;48.8499, 2.37478;1,375036768
14260A;PARIS AUSTERLITZ BP;Bureau de poste;7 B BOULEVARD DE L HOPITAL;;;75013;PARIS;75;FRANCE;48.8419;2.36334;48.8419, 2.36334;1,350334218
14289A;PARIS JEANNE D'ARC;Bureau de poste;38 PLACE JEANNE D ARC;;;75013;PARIS;75;FRANCE;48.8305;2.36817;48.8305, 2.36817;1,387871038
14326A;PARIS BUTTE AUX CAILLES;Bureau de poste;216 RUE DE TOLBIAC;;;75013;PARIS;75;FRANCE;48.8259;2.34599;48.8259, 2.34599;1,368663046
14292A;PARIS ALESIA;Bureau de poste;114 B RUE D ALESIA;;;75014;PARIS;75;FRANCE;48.8296;2.32189;48.8296, 2.32189;1,393407798
14384A;PARIS MONTSOURIS;Bureau de poste;78 RUE DE L AMIRAL MOUCHEZ;;;75014;PARIS;75;FRANCE;48.8212;2.34254;48.8212, 2.34254;1,362834419
57556A;PARIS BRUNE;Bureau de poste;105 BOULEVARD BRUNE;;;75014;PARIS;75;FRANCE;48.8255;2.31566;48.8255, 2.31566;1,370516995
